Yearly salary,Years of experience in machine learning methods,Most frequently used big data products,Regularly use Scikit-learn
,I do not use machine learning methods,,
"15,000-19,999",3-4 years,MySQL ,Yes
,Under 1 year,,
"100,000-124,999",4-5 years,,Yes
"70,000-79,999",I do not use machine learning methods,,
"300,000-499,999",I do not use machine learning methods,MySQL ,
"200,000-249,999",5-10 years,PostgreSQL ,Yes
"70,000-79,999",1-2 years,,Yes
"125,000-149,999",5-10 years,Microsoft SQL Server ,
"60,000-69,999",Under 1 year,,Yes
"70,000-79,999",I do not use machine learning methods,,
"25,000-29,999",4-5 years,,Yes
"100,000-124,999",1-2 years,Google Cloud BigQuery ,
"250,000-299,999",2-3 years,,Yes
,3-4 years,,Yes
"100,000-124,999",1-2 years,Oracle Database ,Yes
,Under 1 year,,Yes
"80,000-89,999",2-3 years,MySQL ,Yes
"250,000-299,999",5-10 years,Snowflake ,Yes
"100,000-124,999",,,
"200,000-249,999",5-10 years,Amazon RDS ,Yes
"40,000-49,999",Under 1 year,,
,,,
,Under 1 year,,Yes
,Under 1 year,,
,Under 1 year,,Yes
"70,000-79,999",I do not use machine learning methods,,
,1-2 years,,
"100,000-124,999",2-3 years,MySQL ,Yes
,1-2 years,,Yes
"250,000-299,999",5-10 years,,
,2-3 years,,Yes
"150,000-199,999",5-10 years,Snowflake ,Yes
0-999,,,
,1-2 years,,Yes
,Under 1 year,,Yes
,20 or more years,,Yes
"150,000-199,999",5-10 years,,Yes
"70,000-79,999",Under 1 year,,
"100,000-124,999",5-10 years,Google Cloud Firestore ,Yes
"90,000-99,999",2-3 years,,Yes
"150,000-199,999",5-10 years,Microsoft Azure Cosmos DB ,Yes
0-999,Under 1 year,,Yes
,3-4 years,,Yes
"25,000-29,999",I do not use machine learning methods,Microsoft SQL Server ,
"150,000-199,999",2-3 years,Microsoft Azure SQL Database ,Yes
,Under 1 year,,
"100,000-124,999",1-2 years,,
"125,000-149,999",1-2 years,,
"125,000-149,999",5-10 years,,
,5-10 years,,Yes
"70,000-79,999",4-5 years,,Yes
,Under 1 year,,
,5-10 years,,Yes
"125,000-149,999",4-5 years,Microsoft SQL Server ,Yes
"100,000-124,999",4-5 years,Amazon Redshift ,
"150,000-199,999",Under 1 year,MySQL ,
"30,000-39,999",Under 1 year,,
"125,000-149,999",4-5 years,,Yes
"250,000-299,999",2-3 years,,
"150,000-199,999",20 or more years,,Yes
,I do not use machine learning methods,,
,I do not use machine learning methods,,
"80,000-89,999",3-4 years,,Yes
,Under 1 year,,Yes
"50,000-59,999",Under 1 year,,
,,,
"80,000-89,999",3-4 years,PostgreSQL ,Yes
,1-2 years,,
"15,000-19,999",Under 1 year,,Yes
,2-3 years,,Yes
"200,000-249,999",5-10 years,,Yes
"300,000-499,999",,,
"10,000-14,999",,,
"60,000-69,999",I do not use machine learning methods,,
"60,000-69,999",Under 1 year,MySQL ,
"100,000-124,999",3-4 years,,Yes
0-999,1-2 years,,Yes
"80,000-89,999",Under 1 year,,Yes
"125,000-149,999",4-5 years,,Yes
"100,000-124,999",3-4 years,MySQL ,Yes
"150,000-199,999",10-20 years,Microsoft SQL Server ,
"300,000-499,999",4-5 years,Snowflake ,Yes
"150,000-199,999",20 or more years,,Yes
"150,000-199,999",2-3 years,PostgreSQL ,Yes
"500,000-999,999",20 or more years,,
"250,000-299,999",4-5 years,Microsoft Azure Cosmos DB ,Yes
"4,000-4,999",2-3 years,MySQL ,Yes
,1-2 years,,Yes
,1-2 years,,
,,,
"50,000-59,999",Under 1 year,,
,2-3 years,,
"90,000-99,999",Under 1 year,,Yes
,Under 1 year,,
,Under 1 year,,Yes
"150,000-199,999",1-2 years,Amazon Redshift ,Yes
"250,000-299,999",3-4 years,,Yes
,Under 1 year,,Yes
"200,000-249,999",4-5 years,MySQL ,Yes
"100,000-124,999",2-3 years,Microsoft SQL Server ,Yes
"80,000-89,999",3-4 years,,Yes
,Under 1 year,,
"200,000-249,999",3-4 years,PostgreSQL ,
,Under 1 year,,
"80,000-89,999",1-2 years,,Yes
,1-2 years,,Yes
,Under 1 year,,
,I do not use machine learning methods,,
,1-2 years,,
,,,
"60,000-69,999",Under 1 year,,Yes
"100,000-124,999",5-10 years,Microsoft SQL Server ,Yes
"100,000-124,999",4-5 years,,Yes
,1-2 years,,Yes
"300,000-499,999",10-20 years,Amazon Redshift ,Yes
,I do not use machine learning methods,,
,Under 1 year,,Yes
,Under 1 year,,Yes
"10,000-14,999",1-2 years,,Yes
"100,000-124,999",,,
0-999,1-2 years,,Yes
"60,000-69,999",,,
"30,000-39,999",Under 1 year,MySQL ,Yes
"125,000-149,999",4-5 years,SQLite ,Yes
"40,000-49,999",I do not use machine learning methods,,
"30,000-39,999",Under 1 year,,
,I do not use machine learning methods,,
"150,000-199,999",10-20 years,PostgreSQL ,Yes
0-999,5-10 years,MySQL ,Yes
"200,000-249,999",Under 1 year,,Yes
"200,000-249,999",5-10 years,,Yes
"100,000-124,999",,,
,2-3 years,,Yes
"125,000-149,999",Under 1 year,,Yes
,1-2 years,,
,,,
,Under 1 year,,
"70,000-79,999",5-10 years,,Yes
"80,000-89,999",Under 1 year,,
"100,000-124,999",I do not use machine learning methods,,
,3-4 years,,Yes
,I do not use machine learning methods,,
"300,000-499,999",5-10 years,,Yes
"100,000-124,999",1-2 years,,Yes
,2-3 years,,Yes
"200,000-249,999",3-4 years,,
"150,000-199,999",2-3 years,Microsoft SQL Server ,Yes
"200,000-249,999",4-5 years,Amazon Redshift ,Yes
"150,000-199,999",I do not use machine learning methods,Microsoft SQL Server ,
0-999,Under 1 year,,Yes
"1,000-1,999",1-2 years,,
"2,000-2,999",1-2 years,,
0-999,2-3 years,Google Cloud BigQuery ,
"90,000-99,999",I do not use machine learning methods,,
"60,000-69,999",,,
"60,000-69,999",,,
"100,000-124,999",,,
"200,000-249,999",10-20 years,Microsoft Azure SQL Database ,Yes
,Under 1 year,,
"30,000-39,999",5-10 years,,
"100,000-124,999",1-2 years,,Yes
"250,000-299,999",4-5 years,,Yes
"150,000-199,999",3-4 years,Snowflake ,Yes
,I do not use machine learning methods,,
"70,000-79,999",5-10 years,,
"90,000-99,999",1-2 years,MySQL ,Yes
"125,000-149,999",5-10 years,Snowflake ,Yes
,3-4 years,,Yes
"40,000-49,999",Under 1 year,,
"90,000-99,999",Under 1 year,,
"300,000-499,999",20 or more years,Amazon Redshift ,Yes
"150,000-199,999",5-10 years,,Yes
"150,000-199,999",20 or more years,,
"150,000-199,999",5-10 years,Google Cloud SQL ,Yes
,Under 1 year,,Yes
">1,000,000",I do not use machine learning methods,,
,1-2 years,,Yes
"90,000-99,999",Under 1 year,,Yes
0-999,4-5 years,,
"30,000-39,999",I do not use machine learning methods,,
"80,000-89,999",Under 1 year,,Yes
"70,000-79,999",Under 1 year,,Yes
,I do not use machine learning methods,,
,1-2 years,,Yes
,1-2 years,,Yes
,,,
,Under 1 year,,
0-999,5-10 years,,Yes
,Under 1 year,,Yes
"300,000-499,999",3-4 years,,Yes
"100,000-124,999",2-3 years,Microsoft SQL Server ,Yes
"125,000-149,999",5-10 years,,Yes
"70,000-79,999",3-4 years,Amazon Redshift ,
"50,000-59,999",I do not use machine learning methods,,
,2-3 years,,Yes
,Under 1 year,,Yes
"80,000-89,999",2-3 years,,Yes
,1-2 years,,Yes
,Under 1 year,,Yes
"100,000-124,999",Under 1 year,,Yes
"150,000-199,999",4-5 years,MySQL ,Yes
"100,000-124,999",Under 1 year,Microsoft SQL Server ,Yes
,3-4 years,,Yes
"150,000-199,999",10-20 years,PostgreSQL ,Yes
"60,000-69,999",1-2 years,,Yes
"100,000-124,999",Under 1 year,,Yes
"200,000-249,999",5-10 years,,Yes
"150,000-199,999",1-2 years,MongoDB ,Yes
"250,000-299,999",2-3 years,,Yes
"125,000-149,999",I do not use machine learning methods,,
"90,000-99,999",Under 1 year,,Yes
"125,000-149,999",5-10 years,MySQL ,Yes
,Under 1 year,,
"150,000-199,999",4-5 years,,Yes
,Under 1 year,,
"100,000-124,999",Under 1 year,,Yes
"50,000-59,999",4-5 years,,
,Under 1 year,,
"80,000-89,999",2-3 years,,
,Under 1 year,,Yes
,Under 1 year,,Yes
"125,000-149,999",5-10 years,,
,Under 1 year,,Yes
"20,000-24,999",2-3 years,,Yes
,I do not use machine learning methods,,
0-999,I do not use machine learning methods,,
"50,000-59,999",Under 1 year,,Yes
,I do not use machine learning methods,,
0-999,2-3 years,,Yes
"100,000-124,999",Under 1 year,,Yes
,Under 1 year,,Yes
"50,000-59,999",,,
"500,000-999,999",10-20 years,,
"200,000-249,999",3-4 years,Other,Yes
"125,000-149,999",Under 1 year,,
"150,000-199,999",1-2 years,,
,Under 1 year,,
,Under 1 year,,Yes
,,,
,4-5 years,,Yes
"150,000-199,999",1-2 years,Amazon DynamoDB ,
"70,000-79,999",Under 1 year,MySQL ,
"100,000-124,999",20 or more years,,Yes
,Under 1 year,,Yes
,Under 1 year,,
"150,000-199,999",10-20 years,PostgreSQL ,
"80,000-89,999",I do not use machine learning methods,,
,1-2 years,,Yes
,I do not use machine learning methods,,
"90,000-99,999",I do not use machine learning methods,,
,Under 1 year,,Yes
"200,000-249,999",5-10 years,Google Cloud SQL ,Yes
"150,000-199,999",Under 1 year,,
,1-2 years,,Yes
"20,000-24,999",,,
"100,000-124,999",Under 1 year,,
"150,000-199,999",2-3 years,Microsoft SQL Server ,
"70,000-79,999",1-2 years,,
,Under 1 year,,Yes
"7,500-9,999",2-3 years,Amazon DynamoDB ,Yes
"250,000-299,999",3-4 years,PostgreSQL ,Yes
"40,000-49,999",Under 1 year,,Yes
,1-2 years,,
,I do not use machine learning methods,,
"100,000-124,999",Under 1 year,,Yes
"100,000-124,999",Under 1 year,,Yes
"200,000-249,999",5-10 years,,Yes
"100,000-124,999",2-3 years,,Yes
"150,000-199,999",4-5 years,,Yes
"100,000-124,999",Under 1 year,PostgreSQL ,Yes
"300,000-499,999",10-20 years,,
"125,000-149,999",4-5 years,Microsoft Azure SQL Database ,Yes
,1-2 years,,Yes
"20,000-24,999",Under 1 year,,
"150,000-199,999",I do not use machine learning methods,Oracle Database ,
"150,000-199,999",4-5 years,,Yes
"200,000-249,999",5-10 years,,Yes
,I do not use machine learning methods,,
"15,000-19,999",Under 1 year,Google Cloud Spanner ,Yes
"80,000-89,999",5-10 years,,Yes
"30,000-39,999",Under 1 year,,
0-999,3-4 years,,
,I do not use machine learning methods,,
"100,000-124,999",5-10 years,Microsoft SQL Server ,
0-999,3-4 years,,Yes
"25,000-29,999",Under 1 year,,Yes
"7,500-9,999",Under 1 year,Microsoft SQL Server ,Yes
0-999,Under 1 year,,
,Under 1 year,,
0-999,2-3 years,Oracle Database ,
"15,000-19,999",1-2 years,,Yes
"150,000-199,999",5-10 years,Microsoft SQL Server ,Yes
,I do not use machine learning methods,,
,2-3 years,,Yes
"40,000-49,999",,,
"70,000-79,999",Under 1 year,,Yes
"250,000-299,999",I do not use machine learning methods,SQLite ,
"70,000-79,999",Under 1 year,Snowflake ,Yes
"50,000-59,999",2-3 years,,Yes
,I do not use machine learning methods,,
,Under 1 year,,Yes
0-999,4-5 years,,
"200,000-249,999",5-10 years,PostgreSQL ,Yes
"40,000-49,999",Under 1 year,,Yes
,Under 1 year,,
"125,000-149,999",3-4 years,MySQL ,Yes
"70,000-79,999",Under 1 year,,Yes
"250,000-299,999",5-10 years,Snowflake ,Yes
"90,000-99,999",2-3 years,,
,1-2 years,,
,3-4 years,,Yes
"90,000-99,999",1-2 years,,
"100,000-124,999",20 or more years,,Yes
,Under 1 year,,Yes
"150,000-199,999",5-10 years,,Yes
"250,000-299,999",4-5 years,Amazon RDS ,Yes
0-999,Under 1 year,Microsoft SQL Server ,Yes
"70,000-79,999",5-10 years,,Yes
0-999,Under 1 year,Amazon DynamoDB ,
"100,000-124,999",1-2 years,IBM Db2 ,Yes
,Under 1 year,,Yes
,,,
"40,000-49,999",Under 1 year,,
"100,000-124,999",Under 1 year,,Yes
"200,000-249,999",5-10 years,,Yes
"40,000-49,999",,,
"60,000-69,999",Under 1 year,,Yes
,Under 1 year,,
,Under 1 year,,
"150,000-199,999",2-3 years,Oracle Database ,
"40,000-49,999",I do not use machine learning methods,,
,2-3 years,,Yes
,4-5 years,,Yes
,2-3 years,,Yes
0-999,Under 1 year,,
"150,000-199,999",10-20 years,,Yes
"200,000-249,999",5-10 years,PostgreSQL ,Yes
,Under 1 year,,
"50,000-59,999",1-2 years,,Yes
"300,000-499,999",1-2 years,Google Cloud BigQuery ,Yes
,,,
"150,000-199,999",I do not use machine learning methods,,
">1,000,000",20 or more years,MySQL ,Yes
,I do not use machine learning methods,,
"150,000-199,999",20 or more years,Google Cloud BigQuery ,Yes
"150,000-199,999",5-10 years,,Yes
"50,000-59,999",I do not use machine learning methods,,
"25,000-29,999",Under 1 year,,Yes
"80,000-89,999",Under 1 year,,Yes
"20,000-24,999",2-3 years,,Yes
"100,000-124,999",Under 1 year,,Yes
,I do not use machine learning methods,,
,1-2 years,,Yes
"40,000-49,999",Under 1 year,MySQL ,
,1-2 years,,Yes
"125,000-149,999",5-10 years,,Yes
"30,000-39,999",1-2 years,,Yes
,I do not use machine learning methods,,
"30,000-39,999",Under 1 year,,Yes
,Under 1 year,,Yes
,4-5 years,,Yes
"125,000-149,999",1-2 years,MongoDB ,Yes
0-999,4-5 years,,
"15,000-19,999",1-2 years,,Yes
"60,000-69,999",2-3 years,Microsoft Azure SQL Database ,Yes
,,,
"30,000-39,999",I do not use machine learning methods,,
"80,000-89,999",I do not use machine learning methods,Microsoft SQL Server ,
"90,000-99,999",2-3 years,Google Cloud BigQuery ,
"100,000-124,999",1-2 years,,
,Under 1 year,,
"40,000-49,999",Under 1 year,,Yes
"60,000-69,999",,,
"150,000-199,999",5-10 years,IBM Db2 ,
"90,000-99,999",1-2 years,Microsoft SQL Server ,Yes
"100,000-124,999",2-3 years,Google Cloud Firestore ,Yes
,I do not use machine learning methods,,
"250,000-299,999",,,
,I do not use machine learning methods,,
"20,000-24,999",2-3 years,,
"250,000-299,999",4-5 years,PostgreSQL ,Yes
"2,000-2,999",1-2 years,,
,Under 1 year,,Yes
,I do not use machine learning methods,,
"70,000-79,999",20 or more years,,Yes
"50,000-59,999",,,
"100,000-124,999",10-20 years,,Yes
,Under 1 year,,
,2-3 years,,Yes
,Under 1 year,,
,Under 1 year,,Yes
"100,000-124,999",I do not use machine learning methods,,
"300,000-499,999",20 or more years,MongoDB ,Yes
,Under 1 year,,Yes
"50,000-59,999",,,
"150,000-199,999",Under 1 year,PostgreSQL ,Yes
"125,000-149,999",5-10 years,Microsoft SQL Server ,
"25,000-29,999",Under 1 year,,Yes
"80,000-89,999",Under 1 year,,Yes
"100,000-124,999",Under 1 year,,
"150,000-199,999",Under 1 year,Oracle Database ,Yes
"90,000-99,999",5-10 years,Oracle Database ,
,Under 1 year,,
"70,000-79,999",1-2 years,Amazon Redshift ,Yes
"200,000-249,999",10-20 years,PostgreSQL ,Yes
0-999,I do not use machine learning methods,MySQL ,
,I do not use machine learning methods,,
"60,000-69,999",2-3 years,,Yes
"150,000-199,999",2-3 years,,Yes
,Under 1 year,,Yes
"100,000-124,999",4-5 years,Oracle Database ,Yes
"70,000-79,999",1-2 years,,Yes
"125,000-149,999",3-4 years,MySQL ,Yes
,Under 1 year,,
,1-2 years,,Yes
,Under 1 year,,Yes
,1-2 years,,
,1-2 years,,Yes
"150,000-199,999",Under 1 year,,
,4-5 years,,Yes
"200,000-249,999",5-10 years,Google Cloud BigQuery ,Yes
"100,000-124,999",Under 1 year,Microsoft SQL Server ,Yes
"60,000-69,999",Under 1 year,,
"150,000-199,999",3-4 years,,Yes
"70,000-79,999",,,
,Under 1 year,,
"100,000-124,999",20 or more years,,
0-999,5-10 years,,Yes
,Under 1 year,,Yes
,I do not use machine learning methods,,
"80,000-89,999",4-5 years,,
"125,000-149,999",4-5 years,,Yes
"60,000-69,999",4-5 years,,
,I do not use machine learning methods,,
"150,000-199,999",I do not use machine learning methods,Oracle Database ,
"150,000-199,999",20 or more years,,Yes
,4-5 years,,
"100,000-124,999",I do not use machine learning methods,,
"100,000-124,999",10-20 years,MySQL ,Yes
"10,000-14,999",Under 1 year,Oracle Database ,
,Under 1 year,,
"125,000-149,999",20 or more years,MySQL ,
,I do not use machine learning methods,,
"125,000-149,999",4-5 years,,Yes
,Under 1 year,,
,1-2 years,,Yes
"100,000-124,999",10-20 years,Amazon DynamoDB ,Yes
"100,000-124,999",3-4 years,,Yes
"125,000-149,999",2-3 years,Google Cloud BigQuery ,Yes
"150,000-199,999",2-3 years,Oracle Database ,Yes
0-999,I do not use machine learning methods,,
,3-4 years,,Yes
"500,000-999,999",5-10 years,,Yes
"125,000-149,999",2-3 years,Microsoft SQL Server ,Yes
"200,000-249,999",Under 1 year,,
"100,000-124,999",10-20 years,Amazon Redshift ,
,Under 1 year,,
,Under 1 year,,Yes
"40,000-49,999",2-3 years,,
"125,000-149,999",3-4 years,,Yes
,Under 1 year,,
"150,000-199,999",5-10 years,Amazon Aurora ,Yes
,Under 1 year,,Yes
"200,000-249,999",5-10 years,,Yes
"125,000-149,999",Under 1 year,,
"100,000-124,999",4-5 years,Microsoft SQL Server ,Yes
,,,
"1,000-1,999",3-4 years,,
"150,000-199,999",5-10 years,,Yes
,I do not use machine learning methods,,
"50,000-59,999",,,
,Under 1 year,,Yes
"150,000-199,999",5-10 years,Microsoft SQL Server ,Yes
">1,000,000",1-2 years,Snowflake ,
"150,000-199,999",20 or more years,,Yes
"300,000-499,999",4-5 years,,Yes
"100,000-124,999",1-2 years,,Yes
,1-2 years,,Yes
0-999,I do not use machine learning methods,,
,Under 1 year,,Yes
"100,000-124,999",Under 1 year,,Yes
,1-2 years,,Yes
0-999,Under 1 year,,Yes
0-999,,,
,,,
,2-3 years,,
"30,000-39,999",I do not use machine learning methods,,
"100,000-124,999",Under 1 year,,Yes
0-999,I do not use machine learning methods,,
0-999,I do not use machine learning methods,,
,3-4 years,,Yes
"50,000-59,999",Under 1 year,,Yes
"70,000-79,999",Under 1 year,Microsoft Azure SQL Database ,Yes
"150,000-199,999",1-2 years,Microsoft SQL Server ,
"150,000-199,999",Under 1 year,,Yes
,Under 1 year,,Yes
"90,000-99,999",1-2 years,Microsoft SQL Server ,Yes
"90,000-99,999",3-4 years,,Yes
"90,000-99,999",2-3 years,,Yes
"100,000-124,999",,,
"60,000-69,999",,,
"70,000-79,999",4-5 years,,Yes
"100,000-124,999",I do not use machine learning methods,,
,Under 1 year,,Yes
"100,000-124,999",3-4 years,,Yes
"15,000-19,999",10-20 years,,Yes
"125,000-149,999",4-5 years,Amazon Redshift ,Yes
"60,000-69,999",I do not use machine learning methods,MySQL ,
"7,500-9,999",2-3 years,MySQL ,Yes
"40,000-49,999",I do not use machine learning methods,,
0-999,I do not use machine learning methods,,
"50,000-59,999",5-10 years,PostgreSQL ,Yes
,20 or more years,,Yes
"125,000-149,999",3-4 years,Snowflake ,Yes
,1-2 years,,Yes
"150,000-199,999",1-2 years,,Yes
"80,000-89,999",2-3 years,,
"90,000-99,999",Under 1 year,Microsoft SQL Server ,
,I do not use machine learning methods,,
"70,000-79,999",1-2 years,,Yes
,1-2 years,,Yes
"100,000-124,999",Under 1 year,,Yes
"125,000-149,999",4-5 years,,Yes
"125,000-149,999",3-4 years,Amazon DynamoDB ,Yes
"150,000-199,999",5-10 years,PostgreSQL ,Yes
0-999,10-20 years,,Yes
"40,000-49,999",1-2 years,,Yes
"60,000-69,999",1-2 years,,Yes
"150,000-199,999",I do not use machine learning methods,,
"60,000-69,999",Under 1 year,,Yes
,5-10 years,,
"80,000-89,999",1-2 years,,
"125,000-149,999",Under 1 year,Microsoft SQL Server ,
"2,000-2,999",Under 1 year,,
"100,000-124,999",10-20 years,Google Cloud BigQuery ,
"90,000-99,999",2-3 years,,
"300,000-499,999",4-5 years,PostgreSQL ,
"60,000-69,999",2-3 years,PostgreSQL ,Yes
,Under 1 year,,Yes
,Under 1 year,,Yes
"100,000-124,999",1-2 years,Microsoft SQL Server ,Yes
,Under 1 year,,Yes
"100,000-124,999",1-2 years,Google Cloud BigQuery ,
,I do not use machine learning methods,,
"100,000-124,999",I do not use machine learning methods,,
"125,000-149,999",5-10 years,,Yes
"125,000-149,999",Under 1 year,,
"100,000-124,999",1-2 years,,Yes
,1-2 years,,
"125,000-149,999",5-10 years,,Yes
"125,000-149,999",1-2 years,,Yes
"80,000-89,999",2-3 years,,Yes
,2-3 years,,Yes
"150,000-199,999",10-20 years,,Yes
"150,000-199,999",I do not use machine learning methods,,
,Under 1 year,,Yes
"150,000-199,999",2-3 years,Amazon Redshift ,Yes
,2-3 years,,Yes
"70,000-79,999",Under 1 year,Microsoft SQL Server ,
"80,000-89,999",2-3 years,Microsoft SQL Server ,
"80,000-89,999",Under 1 year,,Yes
"40,000-49,999",,,
,Under 1 year,,Yes
,,,
"125,000-149,999",5-10 years,,Yes
,1-2 years,,Yes
,Under 1 year,,Yes
"150,000-199,999",Under 1 year,,Yes
"30,000-39,999",Under 1 year,,
"2,000-2,999",2-3 years,,
,Under 1 year,,Yes
"40,000-49,999",Under 1 year,Microsoft SQL Server ,Yes
,1-2 years,,Yes
"25,000-29,999",I do not use machine learning methods,,
"125,000-149,999",1-2 years,,Yes
,Under 1 year,,
"2,000-2,999",1-2 years,,Yes
"100,000-124,999",4-5 years,MongoDB ,Yes
,1-2 years,,
0-999,Under 1 year,,
"70,000-79,999",I do not use machine learning methods,,
,,,
,I do not use machine learning methods,,
"100,000-124,999",3-4 years,Google Cloud BigQuery ,Yes
"125,000-149,999",5-10 years,Microsoft SQL Server ,Yes
"60,000-69,999",,,
"80,000-89,999",3-4 years,Other,Yes
"80,000-89,999",2-3 years,Microsoft SQL Server ,Yes
"10,000-14,999",Under 1 year,,
,I do not use machine learning methods,,
"90,000-99,999",4-5 years,,Yes
,I do not use machine learning methods,,
"30,000-39,999",I do not use machine learning methods,,
"500,000-999,999",2-3 years,Amazon Redshift ,
"150,000-199,999",Under 1 year,SQLite ,Yes
,20 or more years,,
"150,000-199,999",10-20 years,,Yes
"70,000-79,999",Under 1 year,,
"100,000-124,999",2-3 years,,Yes
,Under 1 year,,
"200,000-249,999",3-4 years,PostgreSQL ,Yes
"50,000-59,999",Under 1 year,,Yes
"125,000-149,999",I do not use machine learning methods,Oracle Database ,
,Under 1 year,,
"80,000-89,999",Under 1 year,,
,I do not use machine learning methods,,
,2-3 years,,Yes
"125,000-149,999",5-10 years,Snowflake ,Yes
,1-2 years,,Yes
"125,000-149,999",Under 1 year,,Yes
"200,000-249,999",Under 1 year,,Yes
,Under 1 year,,
,Under 1 year,,
"150,000-199,999",I do not use machine learning methods,MySQL ,
"125,000-149,999",3-4 years,Snowflake ,Yes
"150,000-199,999",Under 1 year,,Yes
"250,000-299,999",I do not use machine learning methods,,
,Under 1 year,,Yes
"100,000-124,999",4-5 years,,Yes
"100,000-124,999",1-2 years,Amazon RDS ,Yes
,2-3 years,,Yes
,Under 1 year,,Yes
"70,000-79,999",I do not use machine learning methods,,
,Under 1 year,,Yes
"200,000-249,999",1-2 years,,Yes
"100,000-124,999",20 or more years,,
,2-3 years,,Yes
,3-4 years,,Yes
"80,000-89,999",2-3 years,,Yes
,1-2 years,,
"70,000-79,999",I do not use machine learning methods,Amazon Redshift ,
"4,000-4,999",Under 1 year,Microsoft Azure SQL Database ,
"125,000-149,999",3-4 years,,Yes
"200,000-249,999",5-10 years,,
"50,000-59,999",1-2 years,,Yes
,Under 1 year,,
"100,000-124,999",2-3 years,MongoDB ,
"50,000-59,999",Under 1 year,,
,1-2 years,,Yes
"100,000-124,999",1-2 years,,Yes
"2,000-2,999",Under 1 year,PostgreSQL ,
"150,000-199,999",1-2 years,,
,1-2 years,,Yes
,I do not use machine learning methods,,
"60,000-69,999",Under 1 year,,
"100,000-124,999",I do not use machine learning methods,Oracle Database ,
"20,000-24,999",1-2 years,,Yes
,1-2 years,,Yes
,1-2 years,,
,Under 1 year,,
,,,
"125,000-149,999",5-10 years,Microsoft SQL Server ,Yes
"125,000-149,999",5-10 years,,Yes
"150,000-199,999",4-5 years,,Yes
,I do not use machine learning methods,,
,Under 1 year,,
"150,000-199,999",Under 1 year,,
"100,000-124,999",I do not use machine learning methods,,
"150,000-199,999",10-20 years,,Yes
"100,000-124,999",1-2 years,Snowflake ,Yes
,Under 1 year,,Yes
,Under 1 year,,
">1,000,000",10-20 years,Other,Yes
"150,000-199,999",5-10 years,Snowflake ,Yes
0-999,10-20 years,PostgreSQL ,Yes
,I do not use machine learning methods,,
,,,
