Yearly salary,Years of experience in machine learning methods,Most frequently used big data products,Regularly use Scikit-learn
,I do not use machine learning methods,,
"250,000-299,999",Under 1 year,,
,I do not use machine learning methods,,
"500,000-999,999",Under 1 year,,
"100,000-124,999",20 or more years,,Yes
,,,
"200,000-249,999",20 or more years,,
,1-2 years,,Yes
,1-2 years,,Yes
"80,000-89,999",I do not use machine learning methods,,
"70,000-79,999",I do not use machine learning methods,,
,I do not use machine learning methods,,
,,,
,Under 1 year,,
"100,000-124,999",1-2 years,,Yes
,2-3 years,,Yes
"150,000-199,999",5-10 years,,Yes
"25,000-29,999",2-3 years,Google Cloud BigQuery ,Yes
,Under 1 year,,
0-999,Under 1 year,,Yes
,3-4 years,,Yes
"80,000-89,999",1-2 years,Microsoft SQL Server ,Yes
"50,000-59,999",Under 1 year,,Yes
"60,000-69,999",Under 1 year,Microsoft SQL Server ,Yes
"60,000-69,999",Under 1 year,,
"10,000-14,999",I do not use machine learning methods,,
"100,000-124,999",3-4 years,,
,2-3 years,,Yes
,I do not use machine learning methods,,
"30,000-39,999",I do not use machine learning methods,,
,I do not use machine learning methods,,
"100,000-124,999",5-10 years,,Yes
"10,000-14,999",1-2 years,,
"100,000-124,999",1-2 years,Microsoft SQL Server ,Yes
"100,000-124,999",10-20 years,,Yes
"125,000-149,999",4-5 years,PostgreSQL ,Yes
,,,
"200,000-249,999",4-5 years,,
"150,000-199,999",3-4 years,Amazon Redshift ,Yes
,2-3 years,,
0-999,1-2 years,,Yes
"90,000-99,999",3-4 years,,Yes
"100,000-124,999",2-3 years,Microsoft SQL Server ,Yes
"15,000-19,999",10-20 years,Snowflake ,Yes
,Under 1 year,,
"125,000-149,999",I do not use machine learning methods,Oracle Database ,
"100,000-124,999",Under 1 year,Amazon Redshift ,
,1-2 years,,Yes
,1-2 years,,Yes
"150,000-199,999",1-2 years,,Yes
"1,000-1,999",10-20 years,,Yes
"30,000-39,999",I do not use machine learning methods,,
"150,000-199,999",1-2 years,PostgreSQL ,Yes
"4,000-4,999",Under 1 year,MySQL ,Yes
"125,000-149,999",I do not use machine learning methods,,
"150,000-199,999",2-3 years,Amazon Redshift ,Yes
,Under 1 year,,
,2-3 years,,Yes
"300,000-499,999",5-10 years,MySQL ,Yes
,Under 1 year,,
,Under 1 year,,
"100,000-124,999",1-2 years,,Yes
"100,000-124,999",2-3 years,MySQL ,Yes
,3-4 years,,Yes
"125,000-149,999",5-10 years,,
,Under 1 year,,
"90,000-99,999",Under 1 year,,Yes
"90,000-99,999",4-5 years,,
"125,000-149,999",5-10 years,PostgreSQL ,Yes
"90,000-99,999",3-4 years,,Yes
"300,000-499,999",3-4 years,,
,I do not use machine learning methods,,
,Under 1 year,,Yes
"30,000-39,999",2-3 years,,Yes
,4-5 years,,Yes
"30,000-39,999",Under 1 year,,Yes
"150,000-199,999",5-10 years,SQLite ,Yes
"250,000-299,999",Under 1 year,,Yes
0-999,Under 1 year,,
,Under 1 year,,Yes
"100,000-124,999",2-3 years,PostgreSQL ,Yes
">1,000,000",5-10 years,,Yes
"90,000-99,999",I do not use machine learning methods,,
"100,000-124,999",I do not use machine learning methods,,
,Under 1 year,,Yes
"150,000-199,999",5-10 years,,
,Under 1 year,,Yes
"50,000-59,999",Under 1 year,,Yes
"250,000-299,999",I do not use machine learning methods,,
"150,000-199,999",20 or more years,,
"200,000-249,999",Under 1 year,,Yes
,I do not use machine learning methods,,
"100,000-124,999",2-3 years,,Yes
"100,000-124,999",Under 1 year,Google Cloud SQL ,
,Under 1 year,,Yes
,,,
0-999,Under 1 year,,Yes
"90,000-99,999",2-3 years,Google Cloud BigQuery ,Yes
,I do not use machine learning methods,,
0-999,Under 1 year,,
"125,000-149,999",5-10 years,,Yes
0-999,,,
,2-3 years,,Yes
,Under 1 year,,Yes
"150,000-199,999",2-3 years,Google Cloud BigQuery ,Yes
"40,000-49,999",I do not use machine learning methods,MongoDB ,
,Under 1 year,,
"125,000-149,999",3-4 years,,Yes
"80,000-89,999",I do not use machine learning methods,Microsoft SQL Server ,
,Under 1 year,,Yes
,Under 1 year,,Yes
"90,000-99,999",Under 1 year,,
"90,000-99,999",1-2 years,MySQL ,Yes
"10,000-14,999",Under 1 year,PostgreSQL ,Yes
,I do not use machine learning methods,,
"150,000-199,999",2-3 years,,Yes
,,,
"10,000-14,999",,,
"100,000-124,999",1-2 years,PostgreSQL ,
,1-2 years,,Yes
,Under 1 year,,
"100,000-124,999",1-2 years,,
,Under 1 year,,Yes
"70,000-79,999",I do not use machine learning methods,,
,1-2 years,,Yes
"100,000-124,999",5-10 years,,Yes
,1-2 years,,Yes
,Under 1 year,,
,2-3 years,,Yes
"100,000-124,999",1-2 years,SQLite ,Yes
"200,000-249,999",Under 1 year,,
"10,000-14,999",Under 1 year,Google Cloud BigQuery ,Yes
">1,000,000",5-10 years,,Yes
,I do not use machine learning methods,,
"60,000-69,999",,,
"5,000-7,499",3-4 years,,
"60,000-69,999",,,
"250,000-299,999",5-10 years,Snowflake ,Yes
"90,000-99,999",2-3 years,,
"100,000-124,999",4-5 years,,Yes
"80,000-89,999",I do not use machine learning methods,,
"125,000-149,999",Under 1 year,Snowflake ,Yes
"80,000-89,999",5-10 years,,Yes
,4-5 years,,Yes
"100,000-124,999",3-4 years,Google Cloud BigQuery ,
"125,000-149,999",3-4 years,Microsoft Azure SQL Database ,Yes
"70,000-79,999",I do not use machine learning methods,Microsoft SQL Server ,
"40,000-49,999",,,
"7,500-9,999",,,
"80,000-89,999",1-2 years,,Yes
"100,000-124,999",4-5 years,Microsoft SQL Server ,
"100,000-124,999",2-3 years,,Yes
,I do not use machine learning methods,,
,1-2 years,,
"125,000-149,999",2-3 years,Google Cloud Firestore ,Yes
"80,000-89,999",I do not use machine learning methods,,
"300,000-499,999",5-10 years,SQLite ,Yes
0-999,Under 1 year,,Yes
,1-2 years,,Yes
"125,000-149,999",5-10 years,,Yes
0-999,,,
0-999,Under 1 year,,Yes
"80,000-89,999",,,
"125,000-149,999",1-2 years,,Yes
0-999,20 or more years,,Yes
,I do not use machine learning methods,,
"90,000-99,999",2-3 years,Oracle Database ,Yes
,4-5 years,,Yes
"200,000-249,999",5-10 years,PostgreSQL ,Yes
"100,000-124,999",4-5 years,,
,I do not use machine learning methods,,
,Under 1 year,,Yes
"150,000-199,999",5-10 years,Microsoft SQL Server ,Yes
"150,000-199,999",5-10 years,MongoDB ,Yes
"250,000-299,999",4-5 years,,Yes
"80,000-89,999",1-2 years,Microsoft SQL Server ,
"300,000-499,999",Under 1 year,,
"150,000-199,999",5-10 years,MySQL ,Yes
"100,000-124,999",I do not use machine learning methods,,
"100,000-124,999",Under 1 year,,
,4-5 years,,Yes
0-999,1-2 years,,
"250,000-299,999",5-10 years,,
,1-2 years,,
"2,000-2,999",4-5 years,,Yes
,1-2 years,,Yes
"50,000-59,999",I do not use machine learning methods,,
,1-2 years,,
"80,000-89,999",20 or more years,,Yes
"40,000-49,999",,,
"150,000-199,999",5-10 years,,Yes
"60,000-69,999",I do not use machine learning methods,,
0-999,,,
,Under 1 year,,
"100,000-124,999",I do not use machine learning methods,,
"150,000-199,999",3-4 years,Microsoft Azure Cosmos DB ,Yes
"100,000-124,999",Under 1 year,,Yes
"25,000-29,999",3-4 years,MySQL ,Yes
"90,000-99,999",3-4 years,MySQL ,Yes
"100,000-124,999",,,
,I do not use machine learning methods,,
,,,
"40,000-49,999",,,
"80,000-89,999",1-2 years,,Yes
,1-2 years,,Yes
"4,000-4,999",Under 1 year,,Yes
"80,000-89,999",10-20 years,Microsoft Azure Cosmos DB ,Yes
"200,000-249,999",1-2 years,,Yes
"1,000-1,999",4-5 years,PostgreSQL ,Yes
"100,000-124,999",Under 1 year,Oracle Database ,Yes
,Under 1 year,,Yes
"80,000-89,999",Under 1 year,,
0-999,,,
"300,000-499,999",10-20 years,MongoDB ,Yes
,Under 1 year,,
"100,000-124,999",I do not use machine learning methods,,
"150,000-199,999",5-10 years,Amazon DynamoDB ,Yes
,Under 1 year,,
,I do not use machine learning methods,,
0-999,I do not use machine learning methods,,
"150,000-199,999",4-5 years,MySQL ,Yes
"150,000-199,999",2-3 years,Microsoft SQL Server ,Yes
"300,000-499,999",3-4 years,,
"125,000-149,999",,,
,Under 1 year,,
0-999,,,
,2-3 years,,Yes
"100,000-124,999",20 or more years,,
"90,000-99,999",2-3 years,,
"100,000-124,999",2-3 years,MySQL ,
"60,000-69,999",3-4 years,SQLite ,
,2-3 years,,Yes
"125,000-149,999",1-2 years,Snowflake ,
,Under 1 year,,Yes
"80,000-89,999",3-4 years,Microsoft SQL Server ,Yes
"7,500-9,999",5-10 years,,Yes
,1-2 years,,Yes
,Under 1 year,,Yes
,I do not use machine learning methods,,
"500,000-999,999",5-10 years,,
0-999,Under 1 year,,Yes
"150,000-199,999",4-5 years,,Yes
"80,000-89,999",Under 1 year,Google Cloud Firestore ,Yes
,Under 1 year,,
0-999,I do not use machine learning methods,,
,2-3 years,,Yes
"100,000-124,999",1-2 years,MongoDB ,Yes
"50,000-59,999",I do not use machine learning methods,,
"90,000-99,999",3-4 years,,Yes
0-999,1-2 years,,Yes
"70,000-79,999",I do not use machine learning methods,PostgreSQL ,
"25,000-29,999",I do not use machine learning methods,,
"300,000-499,999",20 or more years,,Yes
,2-3 years,,Yes
0-999,I do not use machine learning methods,Oracle Database ,
"150,000-199,999",2-3 years,MySQL ,Yes
"50,000-59,999",Under 1 year,,Yes
,1-2 years,,Yes
,Under 1 year,,
"20,000-24,999",I do not use machine learning methods,Microsoft SQL Server ,
,Under 1 year,,
"300,000-499,999",10-20 years,SQLite ,Yes
"150,000-199,999",I do not use machine learning methods,,
"125,000-149,999",5-10 years,Microsoft SQL Server ,Yes
"200,000-249,999",10-20 years,,Yes
"80,000-89,999",,,
,4-5 years,,Yes
"25,000-29,999",5-10 years,,Yes
,Under 1 year,,
"150,000-199,999",3-4 years,,
"125,000-149,999",Under 1 year,,Yes
,Under 1 year,,Yes
"125,000-149,999",Under 1 year,,
,1-2 years,,
"70,000-79,999",1-2 years,,Yes
"80,000-89,999",1-2 years,Microsoft Azure SQL Database ,
"100,000-124,999",2-3 years,PostgreSQL ,Yes
"100,000-124,999",1-2 years,,
"300,000-499,999",10-20 years,Snowflake ,Yes
"300,000-499,999",5-10 years,,
,4-5 years,,
0-999,Under 1 year,,
,Under 1 year,,
,Under 1 year,,Yes
,10-20 years,,
"100,000-124,999",3-4 years,Amazon Redshift ,
"150,000-199,999",1-2 years,,
"60,000-69,999",,,
"125,000-149,999",4-5 years,,Yes
,Under 1 year,,Yes
"90,000-99,999",1-2 years,,
,2-3 years,,Yes
"125,000-149,999",5-10 years,,Yes
"200,000-249,999",10-20 years,,Yes
,I do not use machine learning methods,,
,1-2 years,,Yes
"150,000-199,999",5-10 years,,
"125,000-149,999",I do not use machine learning methods,,
"70,000-79,999",,,
"125,000-149,999",3-4 years,Microsoft SQL Server ,Yes
,,,
"50,000-59,999",1-2 years,,
,I do not use machine learning methods,,
"150,000-199,999",5-10 years,,Yes
"25,000-29,999",Under 1 year,,Yes
"100,000-124,999",3-4 years,,Yes
"100,000-124,999",2-3 years,,Yes
"150,000-199,999",10-20 years,Microsoft Azure SQL Database ,Yes
"90,000-99,999",I do not use machine learning methods,,
0-999,2-3 years,Amazon DynamoDB ,Yes
"80,000-89,999",1-2 years,Microsoft SQL Server ,Yes
,I do not use machine learning methods,,
,Under 1 year,,Yes
,I do not use machine learning methods,,
"100,000-124,999",1-2 years,,Yes
,1-2 years,,
"100,000-124,999",Under 1 year,Google Cloud BigTable ,Yes
"125,000-149,999",1-2 years,,Yes
"70,000-79,999",,,
"125,000-149,999",Under 1 year,,Yes
"125,000-149,999",I do not use machine learning methods,Amazon Aurora ,
"15,000-19,999",4-5 years,,Yes
,Under 1 year,,Yes
"125,000-149,999",Under 1 year,,
,1-2 years,,Yes
,1-2 years,,
,Under 1 year,,Yes
,Under 1 year,,Yes
,Under 1 year,,
"125,000-149,999",4-5 years,,Yes
"250,000-299,999",5-10 years,MongoDB ,Yes
,,,
"150,000-199,999",Under 1 year,PostgreSQL ,Yes
,Under 1 year,,
"250,000-299,999",Under 1 year,Microsoft SQL Server ,
,2-3 years,,Yes
"90,000-99,999",I do not use machine learning methods,,
"150,000-199,999",2-3 years,,
"500,000-999,999",5-10 years,,Yes
,I do not use machine learning methods,,
"150,000-199,999",3-4 years,Amazon Redshift ,Yes
"90,000-99,999",1-2 years,,Yes
"90,000-99,999",1-2 years,,Yes
"30,000-39,999",Under 1 year,Microsoft SQL Server ,Yes
"90,000-99,999",Under 1 year,,
"250,000-299,999",3-4 years,MySQL ,Yes
"300,000-499,999",4-5 years,PostgreSQL ,Yes
"150,000-199,999",5-10 years,,Yes
,I do not use machine learning methods,,
"150,000-199,999",10-20 years,Amazon RDS ,Yes
"50,000-59,999",Under 1 year,,Yes
,Under 1 year,,
,2-3 years,,Yes
"60,000-69,999",Under 1 year,Microsoft Azure SQL Database ,Yes
"125,000-149,999",,,
"25,000-29,999",1-2 years,,Yes
,2-3 years,,
"200,000-249,999",2-3 years,Microsoft SQL Server ,
"150,000-199,999",3-4 years,PostgreSQL ,Yes
"90,000-99,999",1-2 years,Amazon Redshift ,Yes
"30,000-39,999",I do not use machine learning methods,,
"100,000-124,999",4-5 years,,Yes
"30,000-39,999",,,
"80,000-89,999",Under 1 year,PostgreSQL ,Yes
,10-20 years,,Yes
"100,000-124,999",Under 1 year,Amazon Redshift ,Yes
"90,000-99,999",3-4 years,,Yes
"500,000-999,999",Under 1 year,,Yes
,Under 1 year,,Yes
"100,000-124,999",1-2 years,MySQL ,Yes
"90,000-99,999",1-2 years,Microsoft SQL Server ,Yes
"70,000-79,999",I do not use machine learning methods,,
"3,000-3,999",Under 1 year,,
"200,000-249,999",3-4 years,PostgreSQL ,
"100,000-124,999",I do not use machine learning methods,Oracle Database ,
"60,000-69,999",I do not use machine learning methods,,
"90,000-99,999",Under 1 year,,
"100,000-124,999",1-2 years,,Yes
"20,000-24,999",Under 1 year,,Yes
"150,000-199,999",2-3 years,PostgreSQL ,
"125,000-149,999",4-5 years,,Yes
"5,000-7,499",4-5 years,,
"100,000-124,999",3-4 years,,Yes
"60,000-69,999",,,
"100,000-124,999",2-3 years,,Yes
"150,000-199,999",10-20 years,Amazon RDS ,Yes
"60,000-69,999",Under 1 year,PostgreSQL ,
"40,000-49,999",I do not use machine learning methods,,
0-999,Under 1 year,,Yes
"300,000-499,999",10-20 years,,Yes
"2,000-2,999",1-2 years,,Yes
"125,000-149,999",I do not use machine learning methods,PostgreSQL ,
"150,000-199,999",10-20 years,,Yes
,1-2 years,,Yes
,1-2 years,,Yes
,Under 1 year,,
,1-2 years,,Yes
0-999,I do not use machine learning methods,,
,1-2 years,,
"250,000-299,999",2-3 years,MySQL ,
"150,000-199,999",5-10 years,Microsoft Azure Cosmos DB ,Yes
,Under 1 year,,
"60,000-69,999",Under 1 year,,
"90,000-99,999",5-10 years,,Yes
"125,000-149,999",1-2 years,,
"125,000-149,999",I do not use machine learning methods,,
"125,000-149,999",10-20 years,IBM Db2 ,Yes
0-999,I do not use machine learning methods,,
"80,000-89,999",Under 1 year,,
"20,000-24,999",3-4 years,,
"50,000-59,999",5-10 years,,Yes
"150,000-199,999",4-5 years,Snowflake ,Yes
"50,000-59,999",,,
"150,000-199,999",3-4 years,Other,Yes
"40,000-49,999",I do not use machine learning methods,,
,Under 1 year,,Yes
,Under 1 year,,Yes
,1-2 years,,Yes
"80,000-89,999",1-2 years,,
"70,000-79,999",I do not use machine learning methods,Microsoft Azure SQL Database ,
,4-5 years,,
,1-2 years,,Yes
,,,
,Under 1 year,,Yes
,I do not use machine learning methods,,
"100,000-124,999",1-2 years,,Yes
"200,000-249,999",20 or more years,,
"100,000-124,999",Under 1 year,,Yes
"40,000-49,999",Under 1 year,,
"90,000-99,999",Under 1 year,,
"150,000-199,999",5-10 years,Amazon Aurora ,Yes
,1-2 years,,Yes
"200,000-249,999",2-3 years,,Yes
0-999,1-2 years,,
,Under 1 year,,Yes
,1-2 years,,Yes
"300,000-499,999",Under 1 year,,Yes
"150,000-199,999",10-20 years,,Yes
"300,000-499,999",3-4 years,,
"50,000-59,999",1-2 years,,Yes
"125,000-149,999",3-4 years,MySQL ,Yes
"150,000-199,999",20 or more years,,
,1-2 years,,
"150,000-199,999",I do not use machine learning methods,,
,Under 1 year,,Yes
"100,000-124,999",2-3 years,,
"125,000-149,999",1-2 years,Oracle Database ,Yes
"40,000-49,999",,,
"300,000-499,999",1-2 years,PostgreSQL ,Yes
"80,000-89,999",1-2 years,,Yes
,1-2 years,,Yes
,Under 1 year,,Yes
"100,000-124,999",Under 1 year,,Yes
"125,000-149,999",1-2 years,,Yes
,I do not use machine learning methods,,
"125,000-149,999",1-2 years,,Yes
"60,000-69,999",,,
"200,000-249,999",1-2 years,,Yes
"100,000-124,999",2-3 years,,Yes
"125,000-149,999",Under 1 year,,
,I do not use machine learning methods,,
,1-2 years,,Yes
,Under 1 year,,
"60,000-69,999",Under 1 year,,Yes
"15,000-19,999",Under 1 year,,
"300,000-499,999",4-5 years,MySQL ,Yes
"90,000-99,999",I do not use machine learning methods,Microsoft SQL Server ,
"150,000-199,999",2-3 years,,Yes
"200,000-249,999",Under 1 year,Amazon RDS ,Yes
"90,000-99,999",4-5 years,,Yes
"150,000-199,999",4-5 years,,Yes
"20,000-24,999",Under 1 year,,Yes
"200,000-249,999",1-2 years,,
0-999,I do not use machine learning methods,,
0-999,2-3 years,,
"125,000-149,999",2-3 years,Microsoft SQL Server ,Yes
"15,000-19,999",2-3 years,MySQL ,Yes
"125,000-149,999",4-5 years,,Yes
"40,000-49,999",Under 1 year,Google Cloud BigQuery ,Yes
"60,000-69,999",I do not use machine learning methods,,
"150,000-199,999",5-10 years,MySQL ,
"90,000-99,999",2-3 years,,
"150,000-199,999",5-10 years,,Yes
,2-3 years,,Yes
,,,
"70,000-79,999",Under 1 year,,Yes
"125,000-149,999",10-20 years,,
"50,000-59,999",Under 1 year,,Yes
"100,000-124,999",,,
"30,000-39,999",5-10 years,,Yes
"300,000-499,999",20 or more years,Amazon RDS ,Yes
0-999,1-2 years,,
"80,000-89,999",4-5 years,,Yes
,Under 1 year,,Yes
"60,000-69,999",2-3 years,,Yes
0-999,,,
,Under 1 year,,Yes
"80,000-89,999",1-2 years,,Yes
"100,000-124,999",2-3 years,,Yes
,I do not use machine learning methods,,
,4-5 years,,
"90,000-99,999",2-3 years,,Yes
"100,000-124,999",3-4 years,,Yes
"100,000-124,999",Under 1 year,Microsoft SQL Server ,Yes
"150,000-199,999",4-5 years,Snowflake ,Yes
"125,000-149,999",2-3 years,,Yes
"200,000-249,999",Under 1 year,Microsoft Azure SQL Database ,Yes
"60,000-69,999",I do not use machine learning methods,,
,I do not use machine learning methods,,
"200,000-249,999",10-20 years,MongoDB ,Yes
"150,000-199,999",5-10 years,,Yes
,3-4 years,,
"90,000-99,999",I do not use machine learning methods,IBM Db2 ,
"200,000-249,999",3-4 years,,Yes
"7,500-9,999",4-5 years,,Yes
"80,000-89,999",Under 1 year,,
"50,000-59,999",Under 1 year,,Yes
"300,000-499,999",5-10 years,,Yes
"100,000-124,999",1-2 years,,Yes
"25,000-29,999",Under 1 year,,Yes
"150,000-199,999",5-10 years,,Yes
0-999,1-2 years,,Yes
,I do not use machine learning methods,,
"150,000-199,999",Under 1 year,,
,2-3 years,,Yes
"50,000-59,999",Under 1 year,MySQL ,
,I do not use machine learning methods,,
"300,000-499,999",Under 1 year,,
"150,000-199,999",5-10 years,Snowflake ,Yes
"50,000-59,999",4-5 years,Microsoft Azure SQL Database ,Yes
"200,000-249,999",4-5 years,,Yes
"100,000-124,999",1-2 years,,Yes
"100,000-124,999",1-2 years,,Yes
"200,000-249,999",Under 1 year,,Yes
,Under 1 year,,
,I do not use machine learning methods,,
,1-2 years,,Yes
0-999,I do not use machine learning methods,Amazon RDS ,
,Under 1 year,,Yes
"30,000-39,999",1-2 years,Microsoft SQL Server ,Yes
"100,000-124,999",10-20 years,PostgreSQL ,Yes
"50,000-59,999",I do not use machine learning methods,,
"70,000-79,999",I do not use machine learning methods,Microsoft SQL Server ,
,Under 1 year,,
,I do not use machine learning methods,,
"20,000-24,999",Under 1 year,,Yes
"150,000-199,999",3-4 years,,Yes
"10,000-14,999",Under 1 year,,
"40,000-49,999",I do not use machine learning methods,,
,Under 1 year,,
"90,000-99,999",Under 1 year,,
,Under 1 year,,Yes
"150,000-199,999",1-2 years,Microsoft SQL Server ,Yes
"200,000-249,999",10-20 years,,
"250,000-299,999",10-20 years,,
"150,000-199,999",20 or more years,,
"150,000-199,999",Under 1 year,,
"200,000-249,999",4-5 years,Microsoft SQL Server ,
"125,000-149,999",1-2 years,Microsoft SQL Server ,Yes
,2-3 years,,Yes
"40,000-49,999",1-2 years,,Yes
"100,000-124,999",Under 1 year,,Yes
0-999,Under 1 year,Microsoft Azure Cosmos DB ,Yes
">1,000,000",5-10 years,,
"80,000-89,999",,,
,,,
"90,000-99,999",1-2 years,,Yes
,4-5 years,,
,2-3 years,,
,1-2 years,,
"70,000-79,999",I do not use machine learning methods,SQLite ,
"80,000-89,999",Under 1 year,,
,1-2 years,,Yes
"60,000-69,999",,,
"90,000-99,999",2-3 years,Microsoft SQL Server ,Yes
,I do not use machine learning methods,,
"125,000-149,999",I do not use machine learning methods,,
,Under 1 year,,
"40,000-49,999",1-2 years,,Yes
"125,000-149,999",3-4 years,MongoDB ,
"60,000-69,999",Under 1 year,PostgreSQL ,Yes
"125,000-149,999",3-4 years,,Yes
"150,000-199,999",1-2 years,,Yes
"70,000-79,999",1-2 years,,Yes
,I do not use machine learning methods,,
"40,000-49,999",Under 1 year,,Yes
"150,000-199,999",5-10 years,Other,Yes
,Under 1 year,,Yes
"100,000-124,999",4-5 years,MongoDB ,Yes
"70,000-79,999",Under 1 year,,Yes
"1,000-1,999",I do not use machine learning methods,,
"250,000-299,999",10-20 years,,Yes
,Under 1 year,,Yes
"200,000-249,999",5-10 years,,
,,,
"60,000-69,999",1-2 years,,
"125,000-149,999",1-2 years,Amazon Redshift ,Yes
"50,000-59,999",Under 1 year,,
"100,000-124,999",10-20 years,MySQL ,Yes
"125,000-149,999",1-2 years,,
,,,
"70,000-79,999",1-2 years,,Yes
"80,000-89,999",1-2 years,,Yes
"60,000-69,999",2-3 years,,
"40,000-49,999",Under 1 year,,
"200,000-249,999",10-20 years,PostgreSQL ,Yes
,3-4 years,,Yes
"150,000-199,999",5-10 years,,
"60,000-69,999",4-5 years,,Yes
"250,000-299,999",20 or more years,MySQL ,Yes
,1-2 years,,
"125,000-149,999",5-10 years,,Yes
"100,000-124,999",5-10 years,,Yes
"100,000-124,999",3-4 years,MySQL ,Yes
"150,000-199,999",3-4 years,Amazon Aurora ,Yes
"125,000-149,999",I do not use machine learning methods,,
"60,000-69,999",Under 1 year,PostgreSQL ,Yes
"300,000-499,999",4-5 years,Google Cloud BigQuery ,Yes
,1-2 years,,Yes
,,,
,Under 1 year,,
"90,000-99,999",1-2 years,,
"60,000-69,999",I do not use machine learning methods,,
"70,000-79,999",Under 1 year,,Yes
,4-5 years,,
,I do not use machine learning methods,,
,20 or more years,,
"150,000-199,999",Under 1 year,,Yes
"200,000-249,999",Under 1 year,,
"100,000-124,999",3-4 years,,
,Under 1 year,,
,1-2 years,,Yes
"10,000-14,999",Under 1 year,,Yes
,2-3 years,,Yes
"100,000-124,999",Under 1 year,,Yes
"90,000-99,999",2-3 years,Oracle Database ,Yes
"150,000-199,999",3-4 years,,Yes
,3-4 years,,Yes
"200,000-249,999",20 or more years,,Yes
"90,000-99,999",2-3 years,,
,5-10 years,,Yes
"300,000-499,999",5-10 years,,
"70,000-79,999",I do not use machine learning methods,,
"125,000-149,999",Under 1 year,,Yes
,,,
"60,000-69,999",Under 1 year,,
0-999,I do not use machine learning methods,,
,I do not use machine learning methods,,
"200,000-249,999",2-3 years,,Yes
,4-5 years,,
,Under 1 year,,
"90,000-99,999",1-2 years,Microsoft Azure SQL Database ,Yes
"10,000-14,999",I do not use machine learning methods,,
"70,000-79,999",2-3 years,,Yes
"200,000-249,999",4-5 years,Google Cloud BigQuery ,Yes
"250,000-299,999",Under 1 year,,Yes
"125,000-149,999",20 or more years,,
"200,000-249,999",20 or more years,,
"60,000-69,999",1-2 years,,Yes
,Under 1 year,,
"150,000-199,999",5-10 years,MySQL ,Yes
"100,000-124,999",1-2 years,,
"150,000-199,999",10-20 years,,Yes
